_MeanReward,_min_discrew,_mean_obs,_max_discrew,ExplainedVarNew,Beta,_std_discrew,_min_obs,_Episode,_std_adv,_max_adv,_mean_act,_max_obs,ExplainedVarOld,KL,Steps,_min_act,_std_act,PolicyLoss,_lr_multiplier,PolicyEntropy,ValFuncLoss,_std_obs,_max_act,_mean_discrew,_min_adv,_mean_adv
-36.7486790568,-0.0459485929608,0.146262254849,-4.83992787049e-08,0.90897137546,0.666666666667,8.72157127882e-05,-1.0240954845,50,0.999983661062,3.41891831535,-0.00521773,0.998,-246.116554639,8.02375e-05,49950,-2.39525,0.367827,-0.000108835,1.0,0.91527,8.35602914333e-06,0.0460314399109,2.56732,-0.0295616869606,-3.46421870226,2.13376196925e-17
-36.7703876479,-0.0457200564721,0.16326094768,-4.36627480283e-07,0.909035201439,0.444444444444,8.37882727101e-05,-0.973069959481,100,0.998646238216,5.94692230867,-0.0199273,1.05774184392,0.902049407179,0.000221377,49950,-2.56534,0.367675,-0.00128472,1.0,0.910487,9.83344507793e-06,0.0447014037756,2.38988,-0.0294650685956,-4.02237278655,-1.56475877745e-17
-36.4391504015,-0.0445036558774,0.165917587462,-8.78076575643e-08,0.901860836941,0.296296296296,8.72373619682e-05,-0.774847053701,150,0.998633489563,5.9271470699,-0.0122502,0.998,0.907215210888,5.57625e-05,49950,-2.54334,0.364606,-0.00140897,1.0,0.905046,9.45453076731e-06,0.0425926200872,2.62879,-0.029256879915,-3.90908160616,1.02420574524e-17
-35.8124555081,-0.0455292175927,0.166156893895,-7.82730161187e-09,0.921371271692,0.197530864198,8.44053406906e-05,-0.913069664465,200,0.998579614133,4.95717006806,-0.00840964,0.998,0.91005959798,0.000330755,49950,-2.82665,0.358412,-0.00147749,1.0,0.899787,6.97343094134e-06,0.0461086013379,2.47954,-0.0286780076755,-4.66374258091,-1.59320893704e-17
-35.4223942739,-0.0456853362708,0.166883448129,-3.17471400961e-08,0.927755346724,0.131687242798,8.32797921821e-05,-0.890000792188,250,0.998514654783,3.59615828377,-0.00660293,1.15940506861,0.923412160919,6.81636e-05,49950,-2.65836,0.354535,-0.0013788,1.0,0.89468,6.48361763184e-06,0.0451805646198,2.71361,-0.028466741834,-5.01063679304,1.23758194216e-17
-34.6243659118,-0.0418417647123,0.167061780745,-1.71034527208e-07,0.932934586764,0.0877914951989,7.91848510285e-05,-0.877373821601,300,0.998361024528,3.16376412459,-0.00487061,0.998,0.930120919567,0.000154483,49950,-2.53562,0.346567,-0.00150998,1.0,0.889599,5.43407093184e-06,0.044215984107,2.45208,-0.0277922674769,-4.25166216823,2.33291308638e-17
-35.0185615369,-0.0446948509428,0.166588301901,-2.62287367439e-08,0.929108745991,0.0585276634659,8.00615566695e-05,-0.870890539079,350,0.998338500928,3.71495644763,-0.000875015,0.998,0.927962984656,0.000187049,49950,-2.39847,0.350535,-0.00164673,1.0,0.884468,5.70991577009e-06,0.0431719822978,2.73421,-0.0281519976999,-4.64587242716,-5.690031918e-18
-32.1280882818,-0.0434623902445,0.166463531815,0.499988162098,0.362573417479,0.0877914951989,0.000617279148989,-0.868244630945,400,0.99981361042,49.1300946512,0.00485471,1.24742751467,0.0921505579425,0.00615829,49602,-2.25855,0.343996,-0.000854367,1.0,0.882102,0.000393515783047,0.0408759832559,2.49925,-0.0255364274817,-0.536898503335,-9.74091892095e-18
-34.9060060793,-0.0427174617331,0.173133509742,-1.64561098086e-08,0.384963356029,0.0585276634659,7.96427469039e-05,-0.871336584909,450,0.99984395662,8.01195067837,0.0657845,1.12256701826,-2.35974459713,0.00139449,49950,-2.36151,0.345082,-0.000377143,1.0,0.881454,4.91551107764e-05,0.0476981380168,2.71451,-0.0280799527464,-17.1776748993,-1.19490670278e-17
-31.9860904685,-0.0421453114369,0.171300012803,0.499591108704,0.206869122806,0.0585276634659,0.000616767476485,-0.862037947173,500,0.99980087943,30.9353455745,0.0537522,1.23194073221,0.198152845843,0.00575682,49594,-2.39313,0.339754,-0.000596608,1.0,0.880855,0.000526238341928,0.0512862844475,2.3527,-0.0255568247084,-7.27638065367,-8.30977107595e-18
-10.7101142499,-0.0423127995246,0.175248873762,0.499992580071,0.422724922668,0.0877914951989,0.00620648551958,-0.84772833238,550,0.99994214061,14.3824890006,0.118862,1.21294019608,0.116483282847,0.00618372,48130,-2.61441,0.346459,-0.00177123,1.0,0.880538,0.00362213120651,0.0584612305724,2.373,-0.00442638611797,-1.84991753055,-2.36207848996e-18
6.65258682674,-0.0462130627977,0.174689451355,0.499999998916,0.575587522837,0.131687242798,0.0103996767691,-0.8258441327,600,0.999945007558,8.96926128095,0.168799,1.17357878167,0.433142763743,0.00787359,45732,-2.38305,0.357969,-0.00359373,1.0,0.880404,0.00441429949175,0.0613369406703,2.62982,0.0140282521977,-8.12865902372,-1.36726495117e-17
35.1417248145,-0.0463097931562,0.160142280384,0.499999538567,0.725768168329,0.197530864198,0.016377665818,-0.803700501172,650,0.999947850532,6.65672575442,0.205287,1.13203097787,0.653890513404,0.00827903,39298,-2.19908,0.375923,-0.00454056,1.0,0.880173,0.00512831998808,0.0567422181464,3.2253,0.0498844920266,-9.36633591134,-2.31435366119e-17
67.1042954175,-0.053827493787,0.137097123278,0.499999999847,0.797686436305,0.197530864198,0.0200640854423,-0.789539126063,700,0.999950043043,5.4707647417,0.253835,1.10373949087,0.73133290007,0.00526405,31136,-2.36977,0.399592,-0.00566694,1.0,0.87983,0.00452941517406,0.0541749732171,2.98824,0.110295864843,-4.28223864175,-2.55590912144e-17
