_max_adv,_min_discrew,_max_discrew,_min_obs,_std_act,_min_act,_max_act,_mean_adv,_mean_act,_std_discrew,_MeanReward,ExplainedVarOld,Steps,_lr_multiplier,ExplainedVarNew,PolicyLoss,_Episode,_mean_obs,Beta,ValFuncLoss,KL,_mean_discrew,_std_adv,PolicyEntropy,_min_adv,_max_obs,_std_obs
6.9192555359587269,-0.94512771990247124,-0.0043920961066035982,-3.8300829982381601,0.367473,-3.40734,2.65582,7.8791452217153971e-16,-0.00224246,0.050673879945270187,-915.92735129596781,0.0,20020,1.0,-2.2204460492503131e-16,-0.000165409,20,1.2514394558724959,0.66666666666666663,0.077990168674693619,6.81878e-05,-0.73411183830360116,0.99991960347803499,5.51129,-0.60720622016612336,49.999999999999297,11.098147504861187
7.0066880502246915,-0.94210773659233693,-0.0042126701447640098,-3.0103691488434232,0.368275,-3.25587,2.56229,1.1357326445715887e-17,0.00255169,0.049212839235421149,-900.82183393244759,0.0,20020,1.0,0.0,-0.000283853,40,1.2899688269448548,0.44444444444444442,0.049226235591460887,0.00012064,-0.7215796913716479,0.99997686501139627,5.52953,-0.41578702474736162,49.999999999999297,11.072624567438529
7.001192227342826,-0.93865212054302205,-0.0041540758877638652,-3.2151310888363489,0.368982,-2.55231,2.8194,1.1357326445715887e-17,0.000282376,0.049272021098599413,-898.0200142182199,0.0,20020,1.0,0.0,-0.000210429,60,1.3099029235671245,0.29629629629629628,0.049272349429588871,0.000124931,-0.71906314051787423,0.99998054114281543,5.5269,-0.39081465048763525,49.999999999999297,11.053145092308869
7.011991757675311,-0.93861835948685612,-0.0041749988781947384,-3.37064338951593,0.36945,-2.75264,2.64533,-8.5179948342869153e-18,-0.00169704,0.049993264818071939,-908.46532658125545,-2.2204460492503131e-16,20020,1.0,-2.2204460492503131e-16,-9.19542e-05,80,1.3078291958441206,0.19753086419753085,0.050007835244211221,6.81878e-05,-0.72766731339613933,0.99998060122209342,5.51999,-0.37144744500717902,49.999999999999297,11.057875237157823
7.0051468447184595,-0.92871972868273633,-0.0036730774363548145,-3.4135627913466826,0.367648,-2.82139,2.71621,-1.9875321280002802e-17,-0.00195756,0.050354955379399484,-906.28159686401614,0.0,20020,1.0,0.0,-0.000167966,100,1.3215801459662249,0.13168724279835389,0.050354960095272704,0.000137091,-0.72579830118435018,0.99998070832911023,5.50926,-0.36065926338654875,49.999999999999297,11.044167112767761
7.0155914991276527,-0.94074847176527687,-0.0042715408521932707,-3.4027170806920286,0.366781,-2.6275,2.74125,1.5616323862859345e-17,0.000239161,0.050448901883733403,-914.35338128438912,0.0,20020,1.0,0.0,-0.00047879,120,1.3264267605847218,0.0877914951989026,0.05045819836529352,0.000150919,-0.73278206308041827,0.99998074681553095,5.51787,-0.36058902240912338,49.999999999999297,11.056413997073838
7.0276623390077697,-0.92503401152329545,-0.004201320676748263,-3.2024368748211276,0.368595,-2.62206,2.88765,-7.0983290285724294e-19,-0.000522114,0.049131671498908118,-906.22709118303942,0.0,20020,1.0,0.0,-7.6104e-05,140,1.274737176753943,0.058527663465935069,0.049150352123794129,4.76838e-05,-0.72648632802349389,0.99998075236322115,5.51922,-0.36157943111189211,49.999999999999297,11.055718725832969
7.0171110106552721,-0.93176304955308087,-0.0043379988752142509,-3.1924987443009787,0.369281,-2.97159,2.55508,-7.0983290285724294e-18,0.00204836,0.049312032923465962,-904.49986188913294,0.0,20020,1.0,0.0,-0.000301614,160,1.3243066067242726,0.039018442310623382,0.049317681100452516,0.000129938,-0.72506507915033502,0.99998079109299876,5.51582,-0.37075166801654125,49.999999999999297,11.049931732723929
7.0123757173463046,-0.92705475231883128,-0.0040783313472427876,-3.2844787246819909,0.367709,-3.15064,2.47915,-4.2589974171434577e-18,-0.00413267,0.049339112020294826,-902.96240368469921,0.0,20020,1.0,0.0,-0.000266545,180,1.3267273771550181,0.026012294873748922,0.049339133759974001,0.000105381,-0.72359474320616812,0.99998073408656118,5.51222,-0.36131521660733007,49.999999999999297,11.04988584394807
7.018412758084235,-0.93580366658907332,-0.0041984347907494399,-3.2548379089636237,0.36526,-2.63605,2.79608,0.0,-0.000432397,0.049302694090812886,-905.00056309620527,1.1102230246251565e-16,20020,1.0,1.1102230246251565e-16,-0.00024722,200,1.2896803934438137,0.017341529915832616,0.049302725196776712,9.17911e-05,-0.72503024471168898,0.99998064895950611,5.51262,-0.3689047984692515,49.999999999999297,11.055191692837463
