_max_adv,_min_discrew,_max_discrew,_min_obs,_std_act,_min_act,_max_act,_mean_adv,_mean_act,_std_discrew,_MeanReward,ExplainedVarOld,Steps,_lr_multiplier,ExplainedVarNew,PolicyLoss,_Episode,_mean_obs,Beta,ValFuncLoss,KL,_mean_discrew,_std_adv,PolicyEntropy,_min_adv,_max_obs,_std_obs
7.1025781940262736,0.97480143272492747,535.35748384516944,-1.9396156901381498,0.372119,-2.80008,2.7877,1.414015394547463e-17,-0.00113793,8470.8125954898842,231.78950730863394,0.0,4020,1.0,0.0,-0.000882591,20,0.48564792425668624,0.66666666666666663,25346.54601562447,0.00020051,130.07410033639795,0.99999993216047667,5.52035,-1.5698472235405443,10.000000000000007,1.0157421956772756
7.209051018600058,1.0111453603998966,797.04216288345719,-2.2005014223174917,0.366139,-2.32958,2.32872,-9.1911000645585094e-17,-0.00386004,18151.969359869898,322.18358852086078,0.0,4020,1.0,0.0,-0.000583612,40,0.39851980309923796,0.44444444444444442,46292.100473230828,9.98974e-05,168.09923074359597,0.99999995982014422,5.52825,-1.2596200151706001,10.000000000000007,0.71569856239800067
5.1651105156322838,1.1201706135875196,444.80056794095054,-1.9090697466598501,0.36931,-2.5602,2.31057,1.414015394547463e-17,0.00176047,7657.3557904957233,256.33823937674595,0.0,4020,1.0,0.0,-0.000434994,60,0.36723603144448602,0.29629629629629628,26179.214910202485,8.7738e-05,136.6217044434722,0.99999992028585094,5.51782,-1.9797896945464175,10.000000000000007,0.7109924807045116
5.0448648645012515,0.94363234664932361,455.52103485185648,-1.8163672014667926,0.373022,-2.27059,2.47905,-3.110833868004419e-16,-0.00722048,9366.8707514505277,239.08485471785517,0.0,4020,1.0,0.0,-0.000661217,80,0.37779458711515462,0.19753086419753085,28051.196502293038,0.00010252,137.37719895943727,0.99999993255725317,5.51555,-1.6512640560462144,10.000000000000007,0.72064819661445978
5.4698218870652511,1.0484075017393057,549.16476633748471,-1.87885655654191,0.374034,-2.29223,2.18798,0.0,0.00126315,11011.395832694761,240.66981639155068,0.0,4020,1.0,0.0,-0.000310211,100,0.37354846293134919,0.13168724279835389,30402.712220780973,9.60827e-05,140.10192047326041,0.99999994226405375,5.52672,-1.4343793130094205,10.000000000000007,0.72168585150733022
6.9745943639319785,1.1027798481841953,923.07569773557111,-1.8147650649921723,0.364113,-2.32694,2.23384,2.8280307890949259e-17,0.000646577,26130.682721801,319.77592649358297,0.0,4020,1.0,0.0,-0.000617461,120,0.39367128044808508,0.0877914951989026,54587.243861735726,9.91821e-05,169.71855165645815,0.99999996767842725,5.51322,-1.039193193033771,10.000000000000007,0.71382365962576799
5.2006279780456213,1.0757822350473853,659.38236402107691,-1.8482229525715241,0.369635,-2.30371,2.32033,-4.2420461836423892e-17,0.00257155,20304.80317374719,329.66150270812835,0.0,4020,1.0,0.0,-0.000449373,140,0.39328666677788215,0.058527663465935069,51460.256371091105,8.70228e-05,177.73077739033783,0.9999999611187802,5.50813,-1.2893321859198597,10.000000000000007,0.71078022350276615
5.2908004789835461,0.8591130302392449,638.57387327392348,-1.6548788767290579,0.361206,-2.31364,2.33321,2.1210230918211946e-17,0.000671746,17268.37059061012,282.80775659930333,0.0,4020,1.0,0.0,-0.000554089,160,0.39287268382452795,0.039018442310623382,42405.094974334774,0.000105619,159.95212674362051,0.99999995579528023,5.51084,-1.2991275566931273,10.000000000000007,0.71404044104203035
8.5002513172060485,1.1504928730443815,831.02527693286424,-1.6225756628092411,0.370262,-2.61794,2.35908,-8.4840923672847784e-17,-0.00196346,12261.185765147009,279.77432550497184,0.0,4020,1.0,0.0,-0.000307389,180,0.38934744778553815,0.026012294873748922,33851.26326002994,6.1512e-05,148.51046800173725,0.99999995215271786,5.51976,-1.3250915090149338,10.000000000000007,0.71084265423681359
4.9002005597489253,0.98554208438040813,357.80269014302019,-1.8184672508732631,0.367762,-2.37924,2.25018,-2.6866292496401796e-16,-0.0072713,7546.4586880364914,238.05342397509941,0.0,4020,1.0,0.0,-0.000605196,200,0.3855484191945871,0.017341529915832616,26934.26181023115,0.000131607,140.97206696518529,0.99999992062411536,5.52418,-1.9650605358358453,10.000000000000007,0.71504768672079522
4.176600670172089,1.0392309690076336,506.93919656002458,-1.6628303961649242,0.366752,-2.54958,2.64496,1.3433146248200898e-16,0.00077582,13621.972309550991,280.83797033268615,0.0,4020,1.0,0.0,-0.000481938,220,0.39551102391137483,0.011561019943888411,38507.49112974303,0.000104904,159.64749797840147,0.99999994554941984,5.51993,-1.5905728889029724,10.000000000000007,0.72354893865865177
5.7736915712220016,1.1401973726183816,691.27329505147316,-1.7887869588127585,0.36941,-2.37125,2.63586,0.0,-0.00103318,20545.740531148811,323.80828407326578,0.0,4020,1.0,0.0,-0.000708165,240,0.37870830424427177,0.0077073466292589404,49732.110179550284,0.000120878,172.91518726058317,0.99999996097803023,5.52824,-1.2779401446945959,10.000000000000007,0.71463527113696779
7.8546518538469163,1.0575118105740255,813.0417189403878,-1.591455941292983,0.36826,-2.51208,2.33121,-7.7770846700110474e-17,-0.00757038,14134.744845728643,269.97021743852736,0.0,4020,1.0,0.0,-0.0015867,260,0.39668544145765466,0.0051382310861726272,35855.452415358552,0.000270605,149.6279017661569,0.99999995418352916,5.53827,-1.2695701414511869,10.000000000000007,0.71303021295019475
